Year,Bw,Bs,Ba,ELA,Bw_Date,Ba_Date,Calibration
1959,3.20,-2.66,0.54,nan,nan,nan,-0.16
1960,2.13,-2.80,-0.67,nan,nan,nan,-0.17
1961,2.32,-3.59,-1.27,nan,nan,nan,-0.17
1962,2.42,-2.39,0.03,nan,nan,nan,-0.17
1963,2.15,-3.62,-1.47,nan,nan,nan,-0.17
1964,3.17,-2.14,1.03,nan,nan,nan,-0.17
1965,3.40,-3.74,-0.34,nan,nan,nan,-0.17
1966,2.39,-3.59,-1.20,nan,nan,nan,-0.17
1967,3.21,-4.01,-0.80,nan,nan,nan,-0.17
1968,2.92,-3.08,-0.16,nan,nan,nan,-0.17
1969,3.09,-3.99,-0.90,nan,nan,nan,-0.17
1970,2.33,-3.69,-1.36,nan,nan,nan,-0.16
1971,3.43,-3.00,0.43,nan,nan,nan,-0.17
1972,4.19,-2.93,1.26,nan,nan,nan,-0.17
1973,2.13,-3.34,-1.21,nan,nan,nan,-0.17
1974,3.57,-2.72,0.85,nan,nan,nan,-0.17
1975,2.98,-3.20,-0.22,nan,nan,nan,-0.17
1976,3.45,-2.67,0.78,nan,nan,nan,-0.17
1977,1.49,-2.96,-1.47,nan,nan,nan,-0.17
1978,2.41,-2.96,-0.55,nan,nan,nan,-0.17
1979,2.10,-3.83,-1.73,nan,nan,nan,-0.17
1980,1.75,-2.93,-1.18,nan,nan,nan,-0.16
1981,2.20,-3.21,-1.01,nan,nan,nan,-0.17
1982,3.03,-3.12,-0.09,nan,nan,nan,-0.17
1983,1.83,-2.77,-0.94,nan,nan,nan,-0.17
1984,2.30,-2.35,-0.05,nan,nan,nan,-0.17
1985,2.10,-3.47,-1.37,nan,nan,nan,-0.17
1986,2.46,-3.38,-0.92,1995,1986/05/14,1986/10/24,-0.2
1987,2.01,-4.23,-2.22,2190,1987/04/19,1987/10/31,-0.22
1988,2.24,-3.51,-1.27,nan,nan,nan,-0.22
1989,2.46,-3.79,-1.33,2025,1989/04/07,1989/10/10,-0.22
1990,2.50,-2.91,-0.41,1904,1990/04/28,1990/10/01,-0.22
1991,3.69,-4.13,-0.44,1884,1991/04/15,1991/10/16,-0.22
1992,1.81,-4.23,-2.42,2081,1992/04/18,1992/10/12,-0.22
1993,1.92,-3.01,-1.09,1987,1993/05/04,1993/10/14,-0.22
1994,2.35,-4.17,-1.82,2242,1994/04/14,1994/10/10,-0.22
1995,3.00,-4.11,-1.11,1995,1995/04/18,1995/09/27,-0.23
1996,2.85,-3.07,-0.22,1867,1996/05/23,1996/10/11,-0.23
1997,3.44,-3.26,0.18,1837,1997/05/07,1997/10/02,-0.22
1998,3.03,-5.02,-1.99,2135,1998/04/12,1998/10/08,-0.22
1999,3.96,-2.75,1.21,1848,1999/05/19,1999/09/24,-0.22
2000,3.10,-2.67,0.43,1842,2000/05/12,2000/10/14,-0.22
2001,1.81,-2.72,-0.91,1971,2001/05/06,2001/10/06,-0.22
2002,3.88,-3.50,0.38,1856,2002/04/24,2002/10/24,-0.23
2003,2.45,-4.88,-2.43,2124,2003/04/25,2003/10/07,-0.22
2004,2.08,-3.81,-1.73,2102,2004/03/27,2004/10/16,-0.22
2005,2.06,-4.59,-2.53,2318,2005/04/18,2005/09/30,0.18
2006,2.64,-3.93,-1.29,2763,2006/04/18,2006/10/14,0.18
2007,3.50,-3.58,-0.08,1870,2007/05/05,2007/09/28,0.19
2008,3.32,-3.21,0.11,1851,2008/05/14,2008/10/04,0.18
2009,2.74,-4.47,-1.73,2332,2009/04/18,2009/09/29,0.19
2010,2.69,-3.02,-0.33,1908,2010/05/05,2010/10/10,0.18
2011,3.57,-2.24,1.33,1794,2011/05/17,2011/09/25,0.18
2012,3.50,-3.49,0.01,1854,2012/05/04,2012/10/12,0.18
2013,3.20,-3.97,-0.77,1915,2013/04/30,2013/09/22,0.18
2014,3.72,-4.00,-0.28,1928,2014/04/28,2014/10/11,0.18
2015,2.65,-6.17,-3.52,2174,2015/04/14,2015/10/23,0.18
2016,3.34,-4.24,-0.90,1963,2016/03/28,2016/10/04,0.18
2017,3.92,-4.63,-0.71,1942,2017/05/01,2017/10/06,0.18
2018,3.83,-4.58,-0.75,2040,2018/04/22,2018/09/29,0.19
2019,2.43,-4.50,-2.07,3265,2019/04/20,2019/09/27,0.19
2020,3.28,-3.44,-0.16,1891,2020/04/28,2020/10/10,0.18
2021,3.36,-4.69,-1.33,2262,2021/04/11,2021/09/27,0.18
2022,3.47,-4.82,-1.35,2138,2022/05/20,2022/10/21,0.19
2023,2.85,-5.47,-2.62,2444,2023/04/27,2023/10/23,0.18
2024,2.47,-3.97,-1.50,2332,2024/04/29,2024/09/25,0.18
