Z,X,Y,RASTERVALU
2100.000000000000000,-121.041271100000003,48.349547700000002,nan
2036.982666015625000,-121.043529800000002,48.349730737000073,2085.8635254
2006.317871093750000,-121.044855699999999,48.349458761000051,2084.6013184
1969.976562500000000,-121.046203800000001,48.349342352000065,2078.1335449
1937.554321289062500,-121.047497300000003,48.348956404000035,nan
1895.921630859375000,-121.048816700000003,48.348784102000081,2057.9387207
1871.548950195312500,-121.050168299999996,48.348856186000035,nan
1855.361328125000000,-121.051518099999996,48.348950697000078,nan
1852.258056640625000,-121.052864700000001,48.349087307000048,nan
1851.216308593750000,-121.054130900000004,48.349445821000074,2009.6593018
1840.385253906250000,-121.055230199999997,48.350227259000064,nan
1807.911987304687500,-121.056058800000002,48.351297499000054,nan
1748.750976562500000,-121.056741700000003,48.352465400000028,nan
1759.092285156250000,-121.057704200000003,48.353404970000042,1937.6126709
1748.973754882812500,-121.058724900000001,48.354293660000053,1921.8327637
1736.660888671875000,-121.059532399999995,48.355278410000039,nan
1717.088012695312500,-121.059594799999999,48.356630465000080,1880.3261719
1687.515991210937500,-121.059767699999995,48.357964763000041,1864.3068848
1664.187133789062500,-121.060131900000002,48.359268329000031,1854.9846191
1652.606201171875000,-121.060378999999998,48.360588821000078,1842.4320068
1677.339477539062500,-121.060398599999999,48.361942174000035,1820.9530029
1686.864013671875000,-121.060508799999994,48.363285687000030,1767.3117676
1660.336791992187500,-121.060780199999996,48.364611679000063,1726.1928711
1648.887695312500000,-121.061051699999993,48.365937671000040,1698.9704590
1643.915771484375000,-121.061323200000004,48.367263663000074,1671.2238770
1629.000000000000000,-121.061540100000002,48.367870199999999,1653.7415771
1615.000000000000000,-121.065179999999998,48.371119999999998,nan
1613.000000000000000,-121.067316599999998,48.373204999999999,nan
