time,calendar_year,calendar_month,hydro_year,hydro_month,melt_on_glacier_m3
1984.0,1984,1,1984,4,9089148.139557974
1985.0,1985,1,1985,4,10579648.822832078
1986.0,1986,1,1986,4,11082546.94594317
1987.0,1987,1,1987,4,11922216.70582537
1988.0,1988,1,1988,4,10586363.034794327
1989.0,1989,1,1989,4,11196144.40804562
1990.0,1990,1,1990,4,12064122.508167082
1991.0,1991,1,1991,4,11127436.949667707
1992.0,1992,1,1992,4,12153090.771146169
1993.0,1993,1,1993,4,11128558.58375229
1994.0,1994,1,1994,4,13446263.736220658
1995.0,1995,1,1995,4,12351578.014714781
1996.0,1996,1,1996,4,10457186.005378665
1997.0,1997,1,1997,4,14320979.521681158
1998.0,1998,1,1998,4,13530795.674028983
1999.0,1999,1,1999,4,9669581.634476999
2000.0,2000,1,2000,4,11544797.908132128
2001.0,2001,1,2001,4,10170833.598637046
2002.0,2002,1,2002,4,10697862.477714084
2003.0,2003,1,2003,4,13340861.182183549
2004.0,2004,1,2004,4,12917051.442887051
2005.0,2005,1,2005,4,11629043.568571089
2006.0,2006,1,2006,4,12394274.792354729
2007.0,2007,1,2007,4,11213488.024121623
2008.0,2008,1,2008,4,10756397.720394786
2009.0,2009,1,2009,4,12915508.84530154
2010.0,2010,1,2010,4,10390180.698812203
2011.0,2011,1,2011,4,10573318.097428693
2012.0,2012,1,2012,4,10822437.020166995
2013.0,2013,1,2013,4,13442627.065820478
2014.0,2014,1,2014,4,14860797.339423569
2015.0,2015,1,2015,4,15412583.634437244
2016.0,2016,1,2016,4,12910501.388095902
2017.0,2017,1,2017,4,13376951.32176646
2018.0,2018,1,2018,4,12717759.06871751
2019.0,2019,1,2019,4,12292791.417537814
