RASTERVALU,X,Y
2010.4799805,-121.044208114113133,48.350603613865758
1988.4456787,-121.045196811683468,48.349691358669304
1973.1740723,-121.046390623028799,48.349061688446227
1925.2585449,-121.047703207836719,48.348742413831360
1890.9608154,-121.049053819578091,48.348682447037334
1867.7329102,-121.050388953087690,48.348884193750621
1862.2320557,-121.051658684300833,48.349346346356867
1873.8981934,-121.052830766226862,48.350020211063963
1881.9404297,-121.053917679657161,48.350826128622998
1839.9040527,-121.054894097884301,48.351759777791585
1791.6245117,-121.055455578811859,48.352980827803037
1788.8228760,-121.056223631315504,48.354091488731285
1808.6278076,-121.056600293468762,48.355380613824309
1810.2673340,-121.056630669869492,48.356732090713479
1741.6866455,-121.056668826305270,48.358083822110757
1691.9672852,-121.057185936481744,48.359301534738108
1687.3527832,-121.057731294363691,48.360536195089367
1726.0583496,-121.058165759542135,48.361817070701306
1721.1676025,-121.058957260968782,48.362893571780944
1691.4053955,-121.059463126921742,48.364144014334840
1660.1699219,-121.059932042429807,48.365408796578777
1644.7586670,-121.060648744543869,48.366555519421752
1643.8901367,-121.061480725355182,48.367622779967348
1649.8305664,-121.062375187464909,48.368638354676364
1653.6074219,-121.063290582194554,48.369635350291219
1656.4376221,-121.064206000306626,48.370632324322344
